venta_id,fecha,cliente_id,variedad_id,empaque,tallos,precio_tallo
55,2023-06-17,27,5,QB,30875,0.286
56,2023-06-18,21,2,HB,2556,0.317
57,2023-06-18,10,5,EB,71566,0.358
58,2023-06-18,27,7,QB,50377,0.137
59,2023-06-18,15,8,FB,1440,0.187
60,2023-06-18,20,3,QB,14945,0.322
61,2023-06-18,19,7,EB,58478,0.142
62,2023-06-19,22,4,HB,35016,0.403
63,2023-06-20,17,4,FB,22155,0.33
64,2023-06-20,3,2,EB,8969,0.339
65,2023-06-20,26,8,EB,22171,0.183
66,2023-06-21,10,5,HB,174793,0.335
67,2023-06-21,14,2,EB,6304,0.317
68,2023-06-21,5,2,QB,12976,0.348
69,2023-06-21,21,4,FB,5526,0.349
70,2023-06-22,22,2,QB,6132,0.308
71,2023-06-22,25,2,HB,7903,0.275
72,2023-06-23,26,8,HB,57668,0.167
73,2023-06-23,8,2,QB,9802,0.326
74,2023-06-23,5,3,QB,15745,0.269
75,2023-06-24,15,8,QB,8296,0.169
76,2023-06-25,25,8,QB,3062,0.181
77,2023-06-25,3,3,HB,11107,0.352
78,2023-06-25,17,8,HB,74240,0.167
79,2023-06-25,18,2,EB,3821,0.321
80,2023-06-25,9,4,HB,16536,0.312
81,2023-06-25,1,5,QB,2044,0.342
82,2023-06-26,26,3,HB,55433,0.304
83,2023-06-26,23,2,FB,5629,0.287
84,2023-06-26,19,4,QB,32605,0.268
85,2023-06-26,8,5,HB,4409,0.312
86,2023-06-26,22,3,QB,3268,0.317
87,2023-06-27,26,2,EB,34210,0.291
88,2023-06-27,13,8,FB,25128,0.203
89,2023-06-27,11,5,QB,431,0.329
90,2023-06-27,24,3,QB,31838,0.315
91,2023-06-28,4,4,HB,44535,0.315
92,2023-06-28,17,2,FB,7525,0.308
93,2023-06-29,8,2,QB,20975,0.295
94,2023-06-29,13,5,EB,16566,0.345
95,2023-06-29,9,5,HB,115476,0.335
96,2023-06-30,24,7,EB,60413,0.159
97,2023-06-30,23,2,QB,2320,0.297
98,2023-06-30,17,3,HB,30482,0.306
99,2023-07-01,19,5,HB,65411,0.288
100,2023-07-01,22,4,QB,95422,0.307
101,2023-07-02,17,7,HB,116924,0.159
102,2023-07-02,27,8,QB,16340,0.182
103,2023-07-02,15,3,QB,67459,0.289
104,2023-07-02,26,4,EB,117450,0.278
105,2023-07-03,2,7,EB,205231,0.132
106,2023-07-03,27,8,HB,25384,0.161
107,2023-07-03,3,5,HB,94851,0.323
108,2023-07-03,5,2,QB,5970,0.315
109,2023-07-04,24,3,QB,25964,0.294
110,2023-07-04,24,8,HB,15444,0.183
111,2023-07-04,1,3,QB,41542,0.307
112,2023-07-04,8,4,QB,7998,0.304
113,2023-07-05,13,7,QB,240298,0.138
114,2023-07-05,4,7,QB,11104,0.146
115,2023-07-05,22,3,QB,45073,0.33
116,2023-07-05,22,8,HB,54270,0.187
117,2023-07-05,6,7,FB,9477,0.141
118,2023-07-06,1,2,QB,10267,0.321
119,2023-07-06,18,5,QB,18399,0.267
120,2023-07-06,5,2,FB,6769,0.318
121,2023-07-07,8,8,HB,94933,0.205
122,2023-07-08,10,2,QB,113,0.284
123,2023-07-08,24,2,EB,13148,0.321
124,2023-07-08,14,3,FB,33052,0.279
125,2023-07-09,11,7,QB,1387,0.155
126,2023-07-09,13,7,HB,24320,0.141
127,2023-07-09,22,4,QB,34946,0.277
128,2023-07-09,2,7,HB,135818,0.153
129,2023-07-09,4,4,QB,11577,0.305
130,2023-07-10,8,5,EB,51472,0.316
131,2023-07-11,9,8,QB,13018,0.179
132,2023-07-11,12,4,EB,47254,0.342
133,2023-07-12,2,2,QB,34226,0.277
134,2023-07-14,22,4,FB,16929,0.353
135,2023-07-15,4,2,HB,4171,0.278
136,2023-07-15,19,5,QB,1250,0.317
137,2023-07-15,5,8,FB,43932,0.179
138,2023-07-15,27,3,QB,5332,0.322
139,2023-07-15,1,5,QB,14395,0.292
140,2023-07-16,12,4,FB,31229,0.296
141,2023-07-18,17,5,FB,57105,0.386
142,2023-07-19,6,8,QB,2822,0.194
143,2023-07-19,18,3,QB,5930,0.268
144,2023-07-19,19,5,HB,24119,0.324
145,2023-07-19,19,3,QB,1274,0.272
146,2023-07-20,4,3,HB,6948,0.296
147,2023-07-20,21,5,QB,40401,0.319
148,2023-07-20,21,4,HB,20444,0.359
149,2023-07-20,8,3,QB,39317,0.3
150,2023-07-21,6,7,QB,21225,0.148
151,2023-07-21,17,2,EB,28323,0.306
152,2023-07-22,5,2,HB,13924,0.334
153,2023-07-22,25,7,HB,24707,0.134
154,2023-07-22,19,8,QB,54081,0.188
155,2023-07-23,18,8,HB,73653,0.186
156,2023-07-23,24,7,EB,53660,0.143
157,2023-07-23,8,5,QB,57067,0.303
158,2023-07-23,8,5,FB,82384,0.3
159,2023-07-24,1,2,HB,40394,0.332
160,2023-07-24,12,8,QB,2107,0.189
161,2023-07-24,6,2,HB,7087,0.305
162,2023-07-25,4,3,EB,35886,0.319
163,2023-07-25,6,2,QB,6128,0.339
164,2023-07-25,25,4,FB,24741,0.294
165,2023-07-25,25,3,EB,121559,0.359
166,2023-07-25,16,8,QB,17132,0.196
167,2023-07-27,12,3,QB,61637,0.396
168,2023-07-27,15,3,EB,45492,0.364
169,2023-07-28,19,5,QB,233555,0.334
170,2023-07-29,22,7,QB,36781,0.128
171,2023-07-29,1,5,FB,42670,0.332
172,2023-07-30,15,8,HB,43922,0.172
173,2023-07-30,20,7,EB,187995,0.136
174,2023-07-30,3,8,QB,6074,0.189
175,2023-07-31,5,2,EB,12373,0.299
176,2023-07-31,22,5,EB,126815,0.331
177,2023-07-31,23,2,QB,9960,0.294
178,2023-07-31,21,7,HB,2851,0.144
179,2023-07-31,6,3,QB,12324,0.294
180,2023-07-31,20,7,HB,29538,0.143
181,2023-07-31,2,2,FB,3801,0.326
182,2023-08-02,5,3,QB,126942,0.315
183,2023-08-02,7,4,QB,44161,0.306
184,2023-08-02,25,5,HB,2323,0.286
185,2023-08-03,5,3,EB,40007,0.343
186,2023-08-03,28,3,HB,19513,0.298
187,2023-08-03,17,3,HB,5162,0.305
188,2023-08-03,2,2,FB,28189,0.322
189,2023-08-04,15,4,QB,31632,0.317
190,2023-08-04,26,7,QB,23202,0.152
191,2023-08-04,28,7,FB,91172,0.143
192,2023-08-04,5,4,FB,22151,0.283
193,2023-08-04,21,7,QB,112203,0.135
194,2023-08-05,24,3,HB,70455,0.321
195,2023-08-06,14,8,QB,11692,0.197
196,2023-08-06,12,7,FB,124902,0.156
197,2023-08-06,5,4,QB,26073,0.317
198,2023-08-06,2,4,QB,5031,0.358
199,2023-08-07,9,7,EB,67501,0.15
200,2023-08-07,12,4,QB,38975,0.329
201,2023-08-08,28,8,HB,16959,0.161
202,2023-08-08,13,2,EB,2853,0.318
203,2023-08-08,24,3,QB,9814,0.321
204,2023-08-09,17,4,FB,4789,0.289
205,2023-08-10,2,2,FB,3852,0.339
206,2023-08-10,12,4,FB,39371,0.31
207,2023-08-10,12,2,EB,7018,0.311
208,2023-08-10,19,4,QB,49086,0.325
209,2023-08-10,23,8,HB,63312,0.181
210,2023-08-11,15,5,QB,146729,0.302
211,2023-08-11,2,2,EB,9161,0.325
212,2023-08-12,9,7,HB,971,0.159
213,2023-08-12,25,2,QB,13049,0.252
214,2023-08-13,24,5,HB,77458,0.35
215,2023-08-13,13,7,QB,12373,0.136
216,2023-08-13,12,8,FB,21958,0.197
217,2023-08-14,17,5,FB,33764,0.316
218,2023-08-14,10,8,HB,55151,0.184
219,2023-08-15,10,7,HB,3938,0.135
220,2023-08-15,22,8,EB,169677,0.197
221,2023-08-15,3,5,HB,164909,0.313
222,2023-08-15,11,4,QB,95,0.307
223,2023-08-16,11,4,HB,14987,0.337
224,2023-08-16,4,5,QB,17602,0.358
225,2023-08-16,27,3,EB,29406,0.324
226,2023-08-17,25,2,HB,21623,0.364
227,2023-08-17,1,7,QB,40032,0.124
228,2023-08-17,12,4,FB,3226,0.341
229,2023-08-17,20,4,QB,3870,0.315
230,2023-08-18,22,4,HB,60003,0.308
231,2023-08-18,7,7,FB,74131,0.16
232,2023-08-20,25,5,FB,19192,0.362
233,2023-08-20,28,7,HB,4512,0.158
234,2023-08-20,27,2,EB,38671,0.347
235,2023-08-21,8,7,EB,22249,0.117
236,2023-08-22,20,2,QB,1402,0.321
237,2023-08-22,7,7,QB,5683,0.164
238,2023-08-22,17,2,QB,377,0.271
239,2023-08-22,15,4,QB,21,0.342
240,2023-08-23,1,8,FB,31890,0.187
241,2023-08-23,15,7,HB,159804,0.147
242,2023-08-24,17,2,HB,31517,0.379
243,2023-08-24,23,7,FB,78338,0.125
244,2023-08-24,3,2,HB,20320,0.324
245,2023-08-24,18,2,HB,4196,0.27
246,2023-08-24,5,2,QB,412,0.316
247,2023-08-24,8,2,HB,26973,0.357
248,2023-08-25,25,3,EB,1507,0.318
249,2023-08-25,17,8,HB,15583,0.155
250,2023-08-25,23,7,QB,34498,0.135
251,2023-08-26,14,5,QB,38671,0.333
252,2023-08-26,4,2,HB,19274,0.289
253,2023-08-27,6,3,QB,1936,0.263
254,2023-08-27,20,7,HB,8264,0.148
255,2023-08-27,21,5,HB,303616,0.308
256,2023-08-27,8,3,HB,36619,0.364
257,2023-08-28,9,7,HB,148492,0.153
258,2023-08-28,28,3,FB,64955,0.304
259,2023-08-29,16,5,QB,23540,0.309
260,2023-08-29,14,4,EB,11556,0.323
261,2023-08-30,9,7,QB,72455,0.144
262,2023-08-30,9,4,EB,2064,0.351
263,2023-08-30,2,8,HB,37270,0.18
264,2023-08-30,14,2,QB,9901,0.299
265,2023-08-30,17,3,HB,71496,0.356
266,2023-08-31,26,7,HB,44328,0.153
267,2023-08-31,9,4,QB,7499,0.282
268,2023-09-01,8,5,QB,266147,0.278
269,2023-09-02,26,3,EB,52608,0.361
270,2023-09-03,14,8,HB,21032,0.176
271,2023-09-03,25,5,EB,51489,0.331
272,2023-09-04,28,8,QB,4526,0.172
273,2023-09-04,26,4,HB,25524,0.327
274,2023-09-04,7,5,QB,60487,0.306
275,2023-09-04,13,2,QB,3074,0.361
276,2023-09-05,1,2,FB,7518,0.339
277,2023-09-05,19,8,HB,6457,0.177
278,2023-09-06,4,7,EB,76631,0.149
279,2023-09-06,20,8,QB,85493,0.17
280,2023-09-06,25,3,QB,17169,0.265
281,2023-09-07,27,5,HB,77775,0.36
282,2023-09-07,10,5,HB,98066,0.3
283,2023-09-07,11,4,FB,82195,0.328
284,2023-09-08,27,5,QB,15778,0.345
285,2023-09-08,3,8,HB,26800,0.175
286,2023-09-08,26,3,QB,105413,0.365
287,2023-09-09,26,2,HB,11742,0.329
288,2023-09-09,4,2,QB,4193,0.335
289,2023-09-09,14,7,FB,476334,0.132
290,2023-09-09,21,2,QB,21851,0.324
291,2023-09-10,18,4,QB,29464,0.343
292,2023-09-10,9,5,QB,68549,0.328
293,2023-09-10,23,2,EB,17784,0.297
294,2023-09-11,12,3,HB,67627,0.29
295,2023-09-11,16,3,QB,159390,0.342
296,2023-09-11,13,3,QB,65947,0.345
297,2023-09-11,23,2,HB,784,0.338
298,2023-09-12,1,4,HB,70506,0.309
299,2023-09-12,4,5,HB,261880,0.333
300,2023-09-12,18,7,QB,41956,0.143
301,2023-09-13,1,4,HB,5834,0.316
302,2023-09-13,3,7,EB,53849,0.126
303,2023-09-14,1,2,QB,3814,0.318
304,2023-09-14,2,2,HB,1583,0.332
305,2023-09-14,14,2,EB,24796,0.336
306,2023-09-15,6,3,EB,61188,0.322
307,2023-09-16,19,8,HB,628,0.169
308,2023-09-16,1,2,HB,27037,0.292
309,2023-09-16,5,7,HB,79265,0.129
310,2023-09-17,8,4,HB,60320,0.359
311,2023-09-17,26,4,HB,4834,0.325
312,2023-09-17,18,2,HB,14539,0.325
313,2023-09-18,19,8,HB,46290,0.179
314,2023-09-20,13,8,EB,34642,0.181
315,2023-09-20,3,7,QB,8201,0.159
316,2023-09-20,23,7,QB,23153,0.155
317,2023-09-21,12,2,QB,2438,0.301
318,2023-09-21,2,4,HB,20189,0.305
319,2023-09-21,14,3,QB,774,0.32
320,2023-09-22,10,4,EB,12704,0.299
321,2023-09-22,21,7,FB,4743,0.149
322,2023-09-22,1,8,EB,13719,0.215
323,2023-09-22,2,8,FB,18851,0.207
324,2023-09-23,15,2,QB,16364,0.329
325,2023-09-23,6,2,EB,498,0.334
326,2023-09-23,18,8,HB,4128,0.181
327,2023-09-23,24,8,HB,10554,0.159
328,2023-09-24,9,4,QB,5749,0.331
329,2023-09-24,12,2,FB,12806,0.343
330,2023-09-25,10,7,FB,100558,0.147
331,2023-09-25,12,2,FB,8585,0.324
332,2023-09-25,13,4,HB,1965,0.34
333,2023-09-25,23,7,HB,18625,0.141
334,2023-09-25,21,8,FB,30406,0.166
335,2023-09-25,21,7,HB,52158,0.127
336,2023-09-25,18,4,QB,19673,0.331
337,2023-09-26,9,7,QB,35802,0.134
338,2023-09-26,10,4,FB,17333,0.385
339,2023-09-28,3,8,HB,73159,0.199
340,2023-09-28,15,8,EB,20609,0.187
341,2023-09-29,6,7,HB,39779,0.151
342,2023-09-29,24,4,QB,28252,0.33
343,2023-09-29,1,2,QB,2447,0.333
344,2023-09-29,5,2,EB,23547,0.287
345,2023-09-29,7,8,HB,6861,0.169
346,2023-09-29,7,8,QB,23068,0.174
347,2023-10-03,7,7,EB,9047,0.156
348,2023-10-04,20,7,QB,32550,0.136
349,2023-10-05,13,2,HB,18210,0.322
350,2023-10-05,12,4,QB,50248,0.336
351,2023-10-07,3,4,HB,10383,0.366
352,2023-10-07,9,7,HB,63960,0.113
353,2023-10-08,28,3,EB,38505,0.353
354,2023-10-08,17,8,FB,52751,0.179
355,2023-10-09,15,8,HB,55008,0.175
356,2023-10-10,21,8,FB,12389,0.164
357,2023-10-10,5,5,FB,273104,0.36
358,2023-10-10,6,8,QB,10945,0.175
359,2023-10-10,14,7,HB,224341,0.15
360,2023-10-11,8,2,HB,7149,0.316
361,2023-10-11,15,4,QB,66946,0.333
362,2023-10-12,10,3,QB,17117,0.321
363,2023-10-12,25,7,QB,65300,0.131
364,2023-10-12,20,5,QB,35188,0.326
365,2023-10-14,4,3,QB,96892,0.307
366,2023-10-14,23,2,QB,290,0.299
367,2023-10-15,23,2,QB,33938,0.327
368,2023-10-15,22,4,EB,60459,0.318
369,2023-10-17,23,5,QB,87050,0.304
370,2023-10-17,8,3,QB,133334,0.288
371,2023-10-17,18,2,QB,41762,0.317
372,2023-10-17,22,7,HB,76746,0.125
373,2023-10-17,20,2,EB,12786,0.333
374,2023-10-17,5,5,QB,29177,0.309
375,2023-10-18,3,8,FB,3655,0.195
376,2023-10-18,21,7,QB,57208,0.131
377,2023-10-18,6,7,EB,142543,0.15
378,2023-10-18,9,3,QB,18326,0.305
379,2023-10-18,20,2,HB,34849,0.31
380,2023-10-19,2,5,QB,75072,0.312
381,2023-10-19,22,5,QB,11839,0.334
382,2023-10-19,17,5,QB,54400,0.322
383,2023-10-19,2,8,EB,81510,0.189
384,2023-10-19,23,5,HB,73682,0.34
385,2023-10-19,20,3,FB,7672,0.324
386,2023-10-19,27,8,HB,31771,0.17
387,2023-10-20,14,5,QB,12971,0.314
388,2023-10-20,12,8,QB,33622,0.169
389,2023-10-21,28,2,QB,31431,0.309
390,2023-10-21,5,7,HB,62811,0.138
391,2023-10-22,4,8,QB,84334,0.173
392,2023-10-22,12,4,FB,12029,0.361
393,2023-10-23,2,3,FB,129342,0.334
394,2023-10-23,21,4,EB,37076,0.33
395,2023-10-24,24,7,QB,10770,0.153
396,2023-10-24,17,2,FB,3504,0.34
397,2023-10-24,4,5,FB,46033,0.312
398,2023-10-24,21,7,HB,184922,0.128
399,2023-10-24,9,2,FB,15599,0.317
400,2023-10-24,5,4,QB,89745,0.339
401,2023-10-25,17,7,HB,8579,0.146
402,2023-10-25,8,2,FB,5758,0.364
403,2023-10-25,1,7,QB,48189,0.135
404,2023-10-25,17,5,FB,533,0.326
405,2023-10-26,8,8,EB,3004,0.187
406,2023-10-26,14,7,QB,39585,0.136
407,2023-10-26,24,5,HB,5937,0.288
408,2023-10-27,9,3,HB,27555,0.315
409,2023-10-28,9,2,EB,460,0.328
410,2023-10-28,7,7,HB,54989,0.138
411,2023-10-28,16,3,QB,96610,0.366
412,2023-10-28,7,8,QB,35316,0.18
413,2023-10-28,21,7,FB,9322,0.139
414,2023-10-29,8,2,QB,264,0.334
415,2023-10-29,27,7,HB,69085,0.152
416,2023-10-29,23,5,EB,91500,0.29
417,2023-10-30,14,3,HB,1894,0.335
418,2023-10-30,16,5,HB,24958,0.307
419,2023-10-30,10,7,EB,16898,0.15
420,2023-10-31,17,8,HB,5226,0.17
421,2023-10-31,20,4,QB,70583,0.318
422,2023-10-31,2,5,QB,16101,0.349
423,2023-10-31,27,3,EB,9268,0.357
424,2023-11-01,8,5,QB,173218,0.346
425,2023-11-01,6,2,EB,6181,0.298
426,2023-11-02,24,2,FB,9931,0.305
427,2023-11-02,16,5,EB,2329,0.363
428,2023-11-03,25,5,HB,71109,0.32
429,2023-11-03,20,5,QB,99523,0.325
430,2023-11-03,25,2,QB,8399,0.307
431,2023-11-03,16,3,QB,41991,0.35
432,2023-11-04,25,2,FB,7190,0.329
433,2023-11-04,14,7,QB,109643,0.147
434,2023-11-04,5,7,EB,59477,0.148
435,2023-11-04,7,8,HB,23011,0.18
436,2023-11-04,16,2,HB,1901,0.312
437,2023-11-05,10,4,HB,25895,0.316
438,2023-11-05,24,8,QB,4752,0.173
439,2023-11-05,13,2,HB,13134,0.298
440,2023-11-05,13,5,HB,16684,0.36
441,2023-11-05,27,7,HB,40563,0.152
442,2023-11-05,16,3,HB,6755,0.322
443,2023-11-06,18,2,HB,12467,0.333
444,2023-11-06,1,4,HB,16484,0.275
445,2023-11-06,27,3,QB,4662,0.317
446,2023-11-06,19,8,QB,34898,0.183
447,2023-11-06,23,8,HB,9402,0.175
448,2023-11-07,21,8,QB,44646,0.15
449,2023-11-07,6,4,EB,27006,0.308
450,2023-11-08,14,3,EB,27152,0.295
451,2023-11-09,11,5,QB,118,0.291
452,2023-11-09,9,3,QB,51314,0.321
453,2023-11-09,22,5,EB,61118,0.301
454,2023-11-09,22,4,HB,11019,0.315
455,2023-11-11,9,3,FB,36720,0.272
456,2023-11-11,11,4,FB,20762,0.321
457,2023-11-11,6,2,QB,4206,0.294
458,2023-11-11,11,8,HB,10373,0.171
459,2023-11-12,2,2,QB,20574,0.349
460,2023-11-12,28,5,HB,51020,0.296
461,2023-11-13,21,4,HB,7836,0.348
462,2023-11-13,13,4,HB,64480,0.332
463,2023-11-13,24,7,EB,49003,0.161
464,2023-11-13,27,7,QB,17723,0.152
465,2023-11-13,13,7,QB,233255,0.14
466,2023-11-13,20,4,HB,16937,0.288
467,2023-11-14,26,3,EB,2045,0.33
468,2023-11-14,14,3,QB,36303,0.331
469,2023-11-14,25,3,HB,1923,0.356
470,2023-11-15,28,7,FB,59561,0.116
471,2023-11-17,3,3,HB,122284,0.317
472,2023-11-17,18,7,QB,16251,0.136
473,2023-11-17,26,2,QB,3178,0.37
474,2023-11-18,9,2,QB,13150,0.362
475,2023-11-19,13,4,EB,3182,0.311
476,2023-11-19,19,3,QB,10608,0.302
477,2023-11-19,12,8,EB,40123,0.208
478,2023-11-19,9,5,QB,111749,0.316
479,2023-11-19,6,4,EB,42978,0.341
480,2023-11-20,28,2,EB,13340,0.288
481,2023-11-20,8,7,HB,92192,0.127
482,2023-11-21,10,7,HB,49573,0.131
483,2023-11-21,28,3,QB,11393,0.282
484,2023-11-21,25,5,FB,90619,0.282
485,2023-11-21,19,7,HB,2723,0.135
486,2023-11-21,13,2,EB,2824,0.349
487,2023-11-21,2,7,HB,44837,0.144
488,2023-11-22,21,8,QB,4292,0.171
489,2023-11-23,17,5,QB,115443,0.257
490,2023-11-23,22,3,EB,59638,0.343
491,2023-11-23,1,3,FB,58409,0.333
492,2023-11-24,18,7,HB,97075,0.135
493,2023-11-24,21,5,QB,61557,0.316
494,2023-11-24,15,2,HB,19739,0.312
495,2023-11-24,12,3,FB,1553,0.345
496,2023-11-24,17,4,QB,35060,0.337
497,2023-11-25,27,3,QB,6189,0.324
498,2023-11-25,28,4,HB,26628,0.325
499,2023-11-26,28,8,FB,6112,0.175
500,2023-11-26,21,4,HB,19334,0.289
501,2023-11-27,19,3,EB,29182,0.303
502,2023-11-27,22,8,HB,214655,0.172
503,2023-11-27,21,3,HB,13378,0.312
504,2023-11-27,14,7,FB,123174,0.145
505,2023-11-27,24,7,QB,129165,0.139
506,2023-11-28,1,2,QB,27844,0.318
507,2023-11-28,26,2,HB,1434,0.319
508,2023-11-28,9,2,HB,6353,0.353
509,2023-11-29,12,4,EB,14031,0.291
510,2023-11-29,10,7,EB,19284,0.135
511,2023-11-29,12,5,FB,71876,0.333
512,2023-11-30,4,3,FB,1809,0.313
513,2023-11-30,21,5,EB,5446,0.316
514,2023-11-30,5,2,QB,16236,0.278
515,2023-11-30,21,4,HB,28845,0.34
516,2023-12-02,2,8,QB,22495,0.188
517,2023-12-02,6,2,FB,3072,0.32
518,2023-12-03,5,2,QB,18357,0.325
519,2023-12-03,25,2,QB,6547,0.342
520,2023-12-04,23,8,FB,69047,0.182
521,2023-12-04,4,5,QB,1798,0.367
522,2023-12-05,21,4,EB,28160,0.331
523,2023-12-05,24,8,QB,4611,0.184
524,2023-12-07,1,5,QB,37821,0.301
525,2023-12-07,26,2,HB,4177,0.294
526,2023-12-08,12,4,HB,69359,0.349
527,2023-12-08,27,7,QB,118226,0.144
528,2023-12-08,5,2,FB,10000,0.283
529,2023-12-08,6,2,HB,685,0.291
530,2023-12-09,7,4,QB,6573,0.308
531,2023-12-09,9,4,FB,7838,0.289
532,2023-12-09,27,5,HB,14359,0.348
533,2023-12-10,23,8,HB,61231,0.178
534,2023-12-10,8,5,FB,7268,0.326
535,2023-12-10,25,7,QB,6537,0.133
536,2023-12-10,22,7,HB,68083,0.133
537,2023-12-10,3,2,QB,25124,0.314
538,2023-12-10,22,3,HB,92388,0.337
539,2023-12-11,8,8,QB,33179,0.165
540,2023-12-11,15,2,QB,14453,0.37
541,2023-12-11,4,8,EB,33202,0.181
542,2023-12-11,9,4,QB,46382,0.328
543,2023-12-12,8,4,QB,9878,0.298
544,2023-12-12,3,4,HB,38568,0.306
545,2023-12-13,22,4,EB,11861,0.337
546,2023-12-13,25,5,HB,49976,0.325
547,2023-12-13,3,2,QB,35,0.364
548,2023-12-13,3,2,HB,5026,0.355
549,2023-12-14,20,3,QB,82527,0.255
550,2023-12-15,22,7,HB,29017,0.137
551,2023-12-15,19,2,HB,10297,0.351
552,2023-12-15,20,3,HB,13531,0.366
553,2023-12-16,19,4,QB,9313,0.316
554,2023-12-16,12,8,EB,8335,0.185
555,2023-12-16,2,2,FB,3960,0.357
556,2023-12-16,13,4,HB,32435,0.328
557,2023-12-16,19,2,QB,11421,0.337
558,2023-12-17,28,5,HB,55687,0.306
559,2023-12-18,18,3,HB,32271,0.312
560,2023-12-19,5,8,HB,10143,0.185
561,2023-12-19,9,4,FB,2241,0.299
562,2023-12-20,9,7,QB,80321,0.145
563,2023-12-20,7,8,QB,18357,0.169
564,2023-12-20,4,5,EB,26981,0.337
565,2023-12-21,26,4,QB,5910,0.298
566,2023-12-21,20,5,QB,219180,0.365
567,2023-12-22,10,3,QB,18119,0.33
568,2023-12-23,4,5,FB,41152,0.356
569,2023-12-23,5,4,FB,80,0.324
570,2023-12-23,2,2,FB,7231,0.324
571,2023-12-23,15,5,QB,57879,0.352
572,2023-12-24,14,3,EB,8938,0.36
573,2023-12-24,13,4,HB,50195,0.293
574,2023-12-24,11,7,HB,491130,0.147
575,2023-12-24,21,2,HB,6802,0.304
576,2023-12-24,20,7,HB,111741,0.142
577,2023-12-25,2,3,QB,35687,0.303
578,2023-12-25,21,3,HB,56759,0.3
579,2023-12-25,1,4,HB,7927,0.33
580,2023-12-25,24,5,QB,268306,0.313
581,2023-12-25,2,5,HB,88096,0.272
582,2023-12-26,17,3,QB,134741,0.281
583,2023-12-27,12,8,QB,76029,0.181
584,2023-12-28,28,8,HB,19086,0.162
585,2023-12-28,6,8,HB,12459,0.186
586,2023-12-28,10,8,QB,14230,0.195
587,2023-12-28,11,7,EB,98152,0.146
588,2023-12-28,4,7,HB,92654,0.136
589,2023-12-29,22,5,HB,2370,0.328
590,2023-12-31,9,2,QB,62040,0.345
591,2023-12-31,22,3,QB,22575,0.302
592,2024-01-01,25,4,EB,11949,0.283
593,2024-01-01,15,7,FB,200031,0.137
594,2024-01-01,19,4,QB,41059,0.297
595,2024-01-01,25,5,FB,99063,0.353
596,2024-01-01,20,2,QB,11450,0.349
597,2024-01-01,2,5,HB,22419,0.341
598,2024-01-01,16,4,HB,20604,0.323
599,2024-01-01,8,4,QB,49364,0.333
600,2024-01-02,18,4,EB,45573,0.33
601,2024-01-02,11,8,QB,4212,0.196
602,2024-01-03,24,2,QB,6972,0.283
603,2024-01-04,14,2,FB,9505,0.309
604,2024-01-04,15,8,QB,24613,0.175
605,2024-01-04,22,4,HB,38496,0.316
606,2024-01-05,20,2,FB,13409,0.332
