cosecha_id,fecha,bloque_id,tallos,grado_calidad,largo_cm
238,2023-06-16,12,13280,C,36
239,2023-06-16,13,4406,B,73
240,2023-06-16,14,5699,B,39
241,2023-06-16,15,7728,A,67
242,2023-06-16,16,7851,A,56
243,2023-06-16,17,13118,A,78
244,2023-06-16,18,5492,B,59
245,2023-06-17,1,11321,A,70
246,2023-06-17,2,3340,B,61
247,2023-06-17,3,15476,C,41
248,2023-06-17,4,13074,C,55
249,2023-06-17,5,5213,B,46
250,2023-06-17,6,4385,C,72
251,2023-06-17,7,4423,B,48
252,2023-06-17,8,6946,B,55
253,2023-06-17,9,9324,B,90
254,2023-06-17,10,8949,B,80
255,2023-06-17,11,5552,B,59
256,2023-06-17,12,11413,B,46
257,2023-06-17,13,4727,A,58
258,2023-06-17,14,6103,A,80
259,2023-06-17,15,7321,C,43
260,2023-06-17,16,7608,C,50
261,2023-06-17,17,12815,B,48
262,2023-06-17,18,5475,A,76
263,2023-06-18,1,13656,C,62
264,2023-06-18,2,3536,A,79
265,2023-06-18,3,18050,A,46
266,2023-06-18,5,4412,C,56
267,2023-06-18,6,5192,A,78
268,2023-06-18,7,5766,A,68
269,2023-06-18,8,7669,B,57
270,2023-06-18,10,9676,B,62
271,2023-06-18,11,6342,C,30
272,2023-06-18,12,12670,A,58
273,2023-06-18,13,4530,A,72
274,2023-06-18,14,5973,B,72
275,2023-06-18,15,7720,C,56
276,2023-06-18,16,8037,A,69
277,2023-06-18,17,12901,B,64
278,2023-06-18,18,5692,B,62
279,2023-06-19,1,11881,B,53
280,2023-06-19,3,18178,B,68
281,2023-06-19,4,14384,B,53
282,2023-06-19,5,5952,A,55
283,2023-06-19,6,5241,B,34
284,2023-06-19,7,5205,A,54
285,2023-06-19,8,6673,B,69
286,2023-06-19,9,10410,B,59
287,2023-06-19,10,8075,B,63
288,2023-06-19,11,6675,C,48
289,2023-06-19,12,12146,B,75
290,2023-06-19,13,5693,A,65
291,2023-06-19,14,6266,B,64
292,2023-06-19,16,8290,C,38
293,2023-06-19,17,12288,A,60
294,2023-06-19,18,5945,B,48
295,2023-06-20,3,15540,A,62
296,2023-06-20,4,15338,B,64
297,2023-06-20,5,4898,B,63
298,2023-06-20,6,4496,C,64
299,2023-06-20,7,4903,A,67
300,2023-06-20,8,7322,A,83
301,2023-06-20,9,10634,B,40
302,2023-06-20,11,6500,C,40
303,2023-06-20,12,10421,A,69
304,2023-06-20,13,5394,B,50
305,2023-06-20,14,6444,B,69
306,2023-06-20,15,7641,A,72
307,2023-06-20,16,9147,B,55
308,2023-06-20,17,14708,A,56
309,2023-06-20,18,5462,B,60
310,2023-06-21,1,12677,B,64
311,2023-06-21,2,3674,B,53
312,2023-06-21,3,13886,A,78
313,2023-06-21,4,14629,A,59
314,2023-06-21,5,5903,A,66
315,2023-06-21,8,7669,B,63
316,2023-06-21,10,10647,A,63
317,2023-06-21,11,6662,A,66
318,2023-06-21,12,11109,A,54
319,2023-06-21,14,6629,A,70
320,2023-06-21,15,7757,B,51
321,2023-06-21,16,9570,A,52
322,2023-06-21,17,11859,C,58
323,2023-06-22,1,10732,A,60
324,2023-06-22,2,4013,C,39
325,2023-06-22,3,17640,B,54
326,2023-06-22,5,5770,B,51
327,2023-06-22,7,5832,A,62
328,2023-06-22,8,8246,B,84
329,2023-06-22,9,10284,C,57
330,2023-06-22,11,6026,B,59
331,2023-06-22,12,11846,A,70
332,2023-06-22,13,5382,B,65
333,2023-06-22,14,6231,B,62
334,2023-06-22,15,7062,A,49
335,2023-06-22,17,12897,A,51
336,2023-06-22,18,5635,B,45
337,2023-06-23,1,12093,C,60
338,2023-06-23,2,3683,C,66
339,2023-06-23,3,15430,A,54
340,2023-06-23,5,4978,C,40
341,2023-06-23,6,4727,C,52
342,2023-06-23,7,4340,C,52
343,2023-06-23,8,7869,B,60
344,2023-06-23,9,10087,A,62
345,2023-06-23,10,9995,C,63
346,2023-06-23,12,13057,B,54
347,2023-06-23,13,5209,B,49
348,2023-06-23,14,5959,B,75
349,2023-06-23,15,7276,A,70
350,2023-06-23,16,8930,C,52
351,2023-06-23,18,6049,C,41
352,2023-06-24,1,10029,B,49
353,2023-06-24,2,3485,B,57
354,2023-06-24,3,17356,B,53
355,2023-06-24,4,12862,B,30
356,2023-06-24,5,4878,B,70
357,2023-06-24,6,5292,A,66
358,2023-06-24,7,4816,B,52
359,2023-06-24,8,7043,A,63
360,2023-06-24,9,10569,A,66
361,2023-06-24,10,9136,C,64
362,2023-06-24,12,12435,C,40
363,2023-06-24,13,5741,A,69
364,2023-06-24,14,7273,B,53
365,2023-06-24,16,7684,B,63
366,2023-06-24,17,13707,B,48
367,2023-06-24,18,5543,B,65
368,2023-06-25,1,10630,C,53
369,2023-06-25,2,3828,B,64
370,2023-06-25,3,13751,B,54
371,2023-06-25,4,15034,B,63
372,2023-06-25,5,5514,B,45
373,2023-06-25,6,4746,B,51
374,2023-06-25,7,3971,C,39
375,2023-06-25,8,8174,C,62
376,2023-06-25,9,10270,B,61
377,2023-06-25,10,9674,A,67
378,2023-06-25,11,6103,B,41
379,2023-06-25,12,10870,C,58
380,2023-06-25,13,4889,B,60
381,2023-06-25,14,7645,B,64
382,2023-06-25,15,8226,A,83
383,2023-06-25,16,8082,B,62
384,2023-06-25,17,13802,A,62
385,2023-06-26,1,12081,A,85
386,2023-06-26,2,3892,A,80
387,2023-06-26,3,17490,B,50
388,2023-06-26,4,15123,A,41
389,2023-06-26,5,5002,A,61
390,2023-06-26,6,4649,B,55
391,2023-06-26,8,7291,A,73
392,2023-06-26,9,10072,B,44
393,2023-06-26,10,8463,B,37
394,2023-06-26,11,6091,B,45
395,2023-06-26,12,11855,C,40
396,2023-06-26,14,6482,C,74
397,2023-06-26,15,7196,B,48
398,2023-06-27,1,12597,B,73
399,2023-06-27,2,3205,A,53
400,2023-06-27,3,14742,B,61
401,2023-06-27,5,5408,B,56
402,2023-06-27,6,4747,A,68
403,2023-06-27,7,5047,B,62
404,2023-06-27,10,9551,A,58
405,2023-06-27,12,13925,A,67
406,2023-06-27,13,5447,A,75
407,2023-06-27,14,6021,A,30
408,2023-06-27,15,6730,B,52
409,2023-06-27,16,7932,A,57
410,2023-06-27,17,12978,B,75
411,2023-06-27,18,5555,B,43
412,2023-06-28,1,12057,C,40
413,2023-06-28,3,17278,C,58
414,2023-06-28,4,15885,B,44
415,2023-06-28,5,5157,C,60
416,2023-06-28,6,5438,A,79
417,2023-06-28,7,4889,B,63
418,2023-06-28,8,7367,A,68
419,2023-06-28,9,10084,B,57
420,2023-06-28,10,9449,B,62
421,2023-06-28,11,6067,B,64
422,2023-06-28,12,12097,B,68
423,2023-06-28,13,4597,B,62
424,2023-06-28,14,7165,A,63
425,2023-06-28,15,6850,A,71
426,2023-06-28,16,8741,C,37
427,2023-06-28,17,13016,A,70
428,2023-06-28,18,5275,C,35
429,2023-06-29,2,3753,A,64
430,2023-06-29,3,16343,C,52
431,2023-06-29,4,14740,A,58
432,2023-06-29,6,4996,A,64
433,2023-06-29,7,4647,B,61
434,2023-06-29,9,10407,B,52
435,2023-06-29,10,9187,C,63
436,2023-06-29,11,6064,B,75
437,2023-06-29,12,11676,A,47
438,2023-06-29,13,6413,A,59
439,2023-06-29,14,5667,B,67
440,2023-06-29,15,7340,B,43
441,2023-06-29,16,8837,B,62
442,2023-06-29,17,10378,A,65
443,2023-06-30,1,11607,C,59
444,2023-06-30,2,3469,A,60
445,2023-06-30,3,15078,B,73
446,2023-06-30,5,4407,A,90
447,2023-06-30,6,4919,B,60
448,2023-06-30,7,4100,C,49
449,2023-06-30,8,7569,C,55
450,2023-06-30,9,10233,B,43
451,2023-06-30,10,9924,B,56
452,2023-06-30,11,5749,A,51
453,2023-06-30,12,12462,B,60
454,2023-06-30,13,5152,C,57
455,2023-06-30,14,6237,C,37
456,2023-06-30,15,7704,A,74
457,2023-06-30,16,8713,B,49
458,2023-06-30,17,11071,B,50
459,2023-06-30,18,5977,A,77
460,2023-07-01,1,10487,A,69
461,2023-07-01,2,3945,B,49
462,2023-07-01,3,15792,A,81
463,2023-07-01,4,12580,A,76
464,2023-07-01,5,5461,C,38
465,2023-07-01,6,4947,A,52
466,2023-07-01,7,5051,A,70
467,2023-07-01,8,7477,B,50
468,2023-07-01,10,8592,B,60
469,2023-07-01,11,6592,A,74
470,2023-07-01,12,12722,A,60
471,2023-07-01,13,5198,C,56
472,2023-07-01,14,6052,B,61
473,2023-07-01,16,9040,B,72
474,2023-07-01,17,12069,C,49
475,2023-07-01,18,5140,B,58
476,2023-07-02,1,11209,B,52
477,2023-07-02,4,12553,B,40
478,2023-07-02,5,5123,A,70
479,2023-07-02,6,5507,B,46
480,2023-07-02,7,5475,B,70
481,2023-07-02,8,8448,A,59
482,2023-07-02,11,6168,A,59
483,2023-07-02,12,11552,C,68
484,2023-07-02,13,5657,A,62
485,2023-07-02,15,8340,A,65
486,2023-07-02,16,7750,A,56
487,2023-07-02,17,12113,C,44
488,2023-07-02,18,5484,A,34
489,2023-07-03,3,16462,A,65
490,2023-07-03,4,13925,A,70
491,2023-07-03,5,5127,B,56
492,2023-07-03,6,4692,A,71
493,2023-07-03,7,4672,B,49
494,2023-07-03,8,6615,B,54
495,2023-07-03,9,10232,A,65
496,2023-07-03,10,9048,C,37
497,2023-07-03,11,6044,C,61
498,2023-07-03,12,12472,B,43
499,2023-07-03,13,5516,B,74
500,2023-07-03,14,6265,B,63
501,2023-07-03,15,7445,B,36
502,2023-07-03,16,8979,B,49
503,2023-07-03,18,6085,A,72
504,2023-07-04,1,12900,C,59
505,2023-07-04,3,17087,A,67
506,2023-07-04,4,14660,A,60
507,2023-07-04,5,5663,A,71
508,2023-07-04,6,5516,A,56
509,2023-07-04,7,5077,B,64
510,2023-07-04,8,6702,A,72
511,2023-07-04,10,8239,A,70
512,2023-07-04,11,5763,A,57
513,2023-07-04,14,5966,C,57
514,2023-07-04,15,7537,A,59
515,2023-07-04,16,7890,B,72
516,2023-07-04,18,5469,A,73
517,2023-07-05,1,12221,A,56
518,2023-07-05,2,3558,C,54
519,2023-07-05,4,16118,A,53
520,2023-07-05,5,5868,A,69
521,2023-07-05,6,5075,A,72
522,2023-07-05,7,4289,B,68
523,2023-07-05,8,6504,A,47
524,2023-07-05,9,10727,C,60
525,2023-07-05,11,5477,B,56
526,2023-07-05,12,12680,C,42
527,2023-07-05,13,5194,B,50
528,2023-07-05,14,6415,A,47
529,2023-07-05,15,7210,C,42
530,2023-07-05,16,7726,A,48
531,2023-07-05,17,12685,C,49
532,2023-07-05,18,6001,B,73
533,2023-07-06,1,10216,A,67
534,2023-07-06,2,3242,A,76
535,2023-07-06,4,14889,A,67
536,2023-07-06,5,5247,A,75
537,2023-07-06,6,4927,B,54
538,2023-07-06,7,5083,A,52
539,2023-07-06,8,7693,C,37
540,2023-07-06,9,8924,A,69
541,2023-07-06,10,7744,B,56
542,2023-07-06,12,12153,A,67
543,2023-07-06,13,4521,A,73
544,2023-07-06,14,6423,B,71
545,2023-07-06,15,7277,A,81
546,2023-07-06,16,8711,A,69
547,2023-07-06,17,12465,B,72
548,2023-07-07,1,12202,A,52
549,2023-07-07,2,3145,B,49
550,2023-07-07,3,18436,B,51
551,2023-07-07,4,13819,B,55
552,2023-07-07,5,5218,B,61
553,2023-07-07,6,5990,B,50
554,2023-07-07,8,7569,B,42
555,2023-07-07,9,9152,B,54
556,2023-07-07,10,9731,C,49
557,2023-07-07,11,6402,B,67
558,2023-07-07,12,12452,A,71
559,2023-07-07,13,4911,B,51
560,2023-07-07,14,6090,B,53
561,2023-07-07,15,7180,C,45
562,2023-07-07,16,9168,B,64
563,2023-07-07,17,11408,B,51
564,2023-07-07,18,5155,C,55
565,2023-07-08,1,11528,B,55
566,2023-07-08,2,4007,A,59
567,2023-07-08,3,16460,B,63
568,2023-07-08,5,5579,B,47
569,2023-07-08,6,4570,B,63
570,2023-07-08,7,4605,A,64
571,2023-07-08,8,8392,A,70
572,2023-07-08,9,10288,A,78
573,2023-07-08,11,5334,A,47
574,2023-07-08,12,11262,A,50
575,2023-07-08,13,5353,B,61
576,2023-07-08,14,6219,A,61
577,2023-07-08,16,8681,B,54
578,2023-07-08,17,12638,C,59
579,2023-07-08,18,4910,C,60
580,2023-07-09,2,3313,C,30
581,2023-07-09,3,15150,A,66
582,2023-07-09,4,15480,A,46
583,2023-07-09,5,4782,A,69
584,2023-07-09,6,4850,B,57
585,2023-07-09,7,4606,C,40
586,2023-07-09,8,7616,A,46
587,2023-07-09,9,10433,B,81
588,2023-07-09,11,6504,B,56
589,2023-07-09,12,11202,B,73
590,2023-07-09,13,5323,C,51
591,2023-07-09,14,6291,B,74
592,2023-07-09,16,8369,B,42
593,2023-07-09,17,10018,B,55
594,2023-07-09,18,6219,A,75
595,2023-07-10,1,12476,B,58
596,2023-07-10,2,3272,B,40
597,2023-07-10,3,14587,B,46
598,2023-07-10,4,13005,C,50
599,2023-07-10,5,5460,A,59
600,2023-07-10,7,4750,C,45
601,2023-07-10,9,9021,A,61
602,2023-07-10,10,8380,B,54
603,2023-07-10,11,6582,A,78
604,2023-07-10,12,12897,C,39
605,2023-07-10,15,7712,B,51
606,2023-07-10,16,8562,A,73
607,2023-07-10,17,12518,C,41
608,2023-07-10,18,5116,B,51
609,2023-07-11,1,12875,A,81
610,2023-07-11,2,2942,C,60
611,2023-07-11,3,16077,B,55
612,2023-07-11,4,15929,A,69
613,2023-07-11,5,5601,A,55
614,2023-07-11,6,5371,A,80
615,2023-07-11,7,5054,A,46
616,2023-07-11,9,9712,B,64
617,2023-07-11,10,8810,B,67
618,2023-07-11,11,6191,B,60
619,2023-07-11,12,11914,B,71
620,2023-07-11,13,5090,B,60
621,2023-07-11,14,6333,A,58
622,2023-07-11,15,7014,B,66
623,2023-07-11,16,8446,B,64
624,2023-07-11,17,12747,B,71
625,2023-07-11,18,5964,C,49
626,2023-07-12,1,12780,B,66
627,2023-07-12,2,3372,B,73
628,2023-07-12,3,17528,A,71
629,2023-07-12,4,13772,B,76
630,2023-07-12,5,5656,A,52
631,2023-07-12,6,5665,B,50
632,2023-07-12,7,4389,C,36
633,2023-07-12,8,7540,A,68
634,2023-07-12,9,9533,A,71
635,2023-07-12,10,9473,A,84
636,2023-07-12,11,6914,B,61
637,2023-07-12,12,12263,A,75
638,2023-07-12,13,4570,A,71
639,2023-07-12,15,7380,B,49
640,2023-07-12,17,12928,A,66
641,2023-07-12,18,5178,A,66
642,2023-07-13,1,11095,A,66
643,2023-07-13,2,3178,C,42
644,2023-07-13,3,16157,C,36
645,2023-07-13,4,15886,B,58
646,2023-07-13,6,5658,A,69
647,2023-07-13,8,6471,C,55
648,2023-07-13,10,9372,A,63
649,2023-07-13,11,6236,A,72
650,2023-07-13,12,11696,A,62
651,2023-07-13,13,5575,B,57
652,2023-07-13,14,6709,A,55
653,2023-07-13,16,7524,B,61
654,2023-07-13,17,11096,B,68
655,2023-07-13,18,6221,A,73
656,2023-07-14,1,11600,A,57
657,2023-07-14,4,14858,B,30
658,2023-07-14,5,5037,B,77
659,2023-07-14,6,5480,B,68
660,2023-07-14,8,9090,A,90
661,2023-07-14,10,8472,B,53
662,2023-07-14,11,5435,B,52
663,2023-07-14,12,12852,A,56
664,2023-07-14,13,5731,C,40
665,2023-07-14,14,6702,B,84
666,2023-07-14,16,8302,A,70
667,2023-07-14,17,12911,A,65
668,2023-07-15,1,12209,B,68
669,2023-07-15,2,3841,B,53
670,2023-07-15,3,14429,A,56
671,2023-07-15,4,13939,B,56
672,2023-07-15,5,4987,C,44
673,2023-07-15,6,4912,C,43
674,2023-07-15,7,4473,B,62
675,2023-07-15,8,7781,A,81
676,2023-07-15,9,10585,B,52
677,2023-07-15,10,8371,B,66
678,2023-07-15,11,6309,B,58
679,2023-07-15,12,11407,B,62
680,2023-07-15,13,5509,C,59
681,2023-07-15,14,7121,B,63
682,2023-07-15,15,6781,C,43
683,2023-07-15,16,8408,B,59
684,2023-07-15,17,11626,B,49
685,2023-07-15,18,4869,A,66
686,2023-07-16,1,12822,B,54
687,2023-07-16,2,3358,B,69
688,2023-07-16,3,16308,B,62
689,2023-07-16,4,13507,B,58
690,2023-07-16,5,5407,A,65
691,2023-07-16,6,4845,B,46
692,2023-07-16,9,10004,C,38
693,2023-07-16,10,9451,C,39
694,2023-07-16,11,6250,A,68
695,2023-07-16,12,11860,B,51
696,2023-07-16,13,5073,A,49
697,2023-07-16,14,5835,C,62
698,2023-07-16,15,7077,A,63
699,2023-07-16,16,8363,B,61
700,2023-07-16,17,11859,A,49
701,2023-07-16,18,5140,B,59
702,2023-07-17,2,4194,C,43
703,2023-07-17,3,14688,B,42
704,2023-07-17,4,13709,B,55
705,2023-07-17,5,5570,A,54
706,2023-07-17,6,4324,B,54
707,2023-07-17,7,4569,B,54
708,2023-07-17,8,7838,B,53
709,2023-07-17,9,9581,C,41
710,2023-07-17,10,8460,A,59
711,2023-07-17,11,5834,A,73
712,2023-07-17,12,12744,B,89
713,2023-07-17,13,5569,B,30
714,2023-07-17,14,6166,B,64
715,2023-07-17,15,7083,A,69
716,2023-07-17,16,8807,A,70
717,2023-07-17,17,13411,C,63
718,2023-07-17,18,5976,A,55
719,2023-07-18,1,11717,C,47
720,2023-07-18,3,16799,A,56
721,2023-07-18,4,14576,B,62
722,2023-07-18,5,6006,C,40
723,2023-07-18,6,5804,A,48
724,2023-07-18,7,4641,A,50
725,2023-07-18,8,7894,A,90
726,2023-07-18,9,8937,B,87
727,2023-07-18,13,6550,B,57
728,2023-07-18,15,7060,A,65
729,2023-07-18,16,8211,A,76
730,2023-07-18,17,14727,A,77
731,2023-07-18,18,5859,A,48
732,2023-07-19,1,10841,A,70
733,2023-07-19,2,3462,A,50
734,2023-07-19,3,17482,A,72
735,2023-07-19,4,14180,B,52
736,2023-07-19,5,5152,B,60
737,2023-07-19,6,5178,A,79
738,2023-07-19,7,4520,A,61
739,2023-07-19,8,7386,B,45
740,2023-07-19,9,11157,C,62
741,2023-07-19,10,9068,C,60
742,2023-07-19,11,5312,B,49
743,2023-07-19,12,11488,C,74
744,2023-07-19,13,5187,B,64
745,2023-07-19,14,6277,C,36
746,2023-07-19,15,7686,B,66
747,2023-07-19,16,8731,B,57
748,2023-07-19,17,12735,C,63
749,2023-07-19,18,5978,C,44
750,2023-07-20,1,10756,A,61
751,2023-07-20,2,2843,B,61
752,2023-07-20,4,13424,A,68
753,2023-07-20,6,4795,A,56
754,2023-07-20,7,5610,B,58
755,2023-07-20,8,7093,A,57
756,2023-07-20,9,10494,C,55
757,2023-07-20,10,9203,A,59
758,2023-07-20,11,6616,B,46
759,2023-07-20,12,13870,B,49
760,2023-07-20,13,4601,A,72
761,2023-07-20,14,4966,A,86
762,2023-07-20,15,7082,B,35
763,2023-07-20,16,8258,B,42
764,2023-07-20,17,11854,A,70
765,2023-07-20,18,5370,B,51
766,2023-07-21,1,12667,A,82
767,2023-07-21,2,4205,B,59
768,2023-07-21,3,12923,A,69
769,2023-07-21,4,13906,A,44
770,2023-07-21,6,5521,A,69
771,2023-07-21,7,5121,A,70
772,2023-07-21,8,7828,B,58
773,2023-07-21,9,9453,B,73
774,2023-07-21,10,9596,C,58
